,nodes,edges,average_path
539,6931,9999,44.05448499463793
540,28744,47964,61.92356535139247
541,2676,3539,33.554057527625275
542,143,198,9.579040677632227
543,146,204,10.560037789324516
544,7108,9686,50.62102804474636
545,4973,6632,37.67478794177213
546,1057,1555,21.37809624150684
547,17629,25216,61.16620236580032
548,11555,17309,46.133667079955
549,21608,27756,76.64917764508111
550,2400,2930,28.831949770737808
551,1526,2350,24.927446877081408
552,1869,2720,28.427106068469783
553,6076,9170,38.89114497571231
554,2289,2972,30.79511199809365
555,1299,1967,26.417327065622363
556,817,1135,17.902539779681764
557,8518,12532,55.206329354743
558,1172,1596,24.285172382637285
559,1122,1653,26.6110631423115
560,1934,2871,26.81812112169252
561,32563,47450,69.59947517401707
562,2338,3153,25.385970402858323
563,1434,2052,26.943666961568372
564,5458,7839,37.8455567841668
565,1262,1972,22.983635607289763
566,1833,2517,31.602744564116858
567,3342,4838,34.84854529375972
568,371,452,15.668638449770524
569,633,830,16.93100965864779
570,4975,6938,41.540641769361486
571,553,693,18.773901250098277
572,67511,101957,54.17482131128909
573,2788,3920,28.66095944534447
574,1811,2935,24.44821669905519
575,829,1145,20.985996748308597
576,557,783,18.39781460289578
577,746,1043,21.1764758803102
578,2119,2903,29.95467823162083
579,907,1235,23.121931214420098
580,3350,4112,30.678759799093513
581,1434,1954,23.05310177223272
582,1130,1589,23.12984158586579
583,3440,4255,37.25324695523983
584,240,320,11.507740585774059
585,2383,3389,25.607135697053682
586,724,1058,15.822497573798552
587,2648,3604,27.415911189432943
588,11089,14978,47.22559176852846
589,651,1003,15.907219662058372
590,90764,127707,64.03125983730854
591,555,764,14.245910170097895
592,6218,9010,36.351217852583936
593,813,1222,19.256030392816243
594,425,564,17.43245283018868
595,5760,8887,34.671158126893175
596,1217,1609,25.445207423344723
597,6306,9177,39.549791407450776
598,4399,6861,33.285990418468124
599,4341,6252,32.450387633930895
600,663,1138,21.451463411299915
601,2214,3115,26.862779722841662
602,2388,3487,22.746762369310595
603,2798,4008,24.497971506794144
604,1231,1565,28.844093968153327
605,2179,2931,29.36921090415187
606,20774,34603,49.06421797525634
607,3562,4883,40.4215095501661
608,7262,9873,31.743544197047484
609,1500,1783,26.758036913497886
610,7590,10830,44.974044882588714
611,3202,4131,29.23707964465352
612,1194,1806,27.04264687505704
613,1659,2449,26.87889502810637
614,1698,2417,30.490101356721105
615,465,564,17.382638116425657
616,5141,6743,34.213277405946094
617,3270,4878,26.10531870607308
618,3309,4637,32.35400722736679
